Nome_Cientifico;Status;
Aphelandra espirito-santensis;Em Perigo;
Aphelandra margaritae;Vulneravel;
Aphelandra maximiliana;Em Perigo;
Dyschoriste lavandulacea;Em Perigo;
Dyschoriste smithii;Criticamente em Perigo;
Justicia clausseniana;Em Perigo;
Justicia genuflexa;Vulneravel;
Justicia paranaensis;Em Perigo;
Justicia polita;Em Perigo;
Justicia ramulosa;Vulneravel;
Justicia tijucensis;Vulneravel;
Odontonema dissitiflorum;Em Perigo;
Staurogyne brachiata;Em Perigo;
Staurogyne carvalhoi;Vulneravel;
Staurogyne elegans;Vulneravel;
Staurogyne itatiaiae;Em Perigo;
Staurogyne vauthieriana;Em Perigo;
Staurogyne veronicifolia;Em Perigo;
Staurogyne warmingiana;Em Perigo;
Stenandrium hatschbachii;Em Perigo;
Stenandrium stenophyllum;Em Perigo;
Streblacanthus dubiosus;Em Perigo;
Sagittaria lancifolia;Vulneravel;
Alstroemeria amabilis;Em Perigo;
Alstroemeria brasiliensis;Em Perigo;
Alstroemeria capixaba;Criticamente em Perigo;
Alstroemeria caryophyllaea;Em Perigo;
Alstroemeria malmeana;Criticamente em Perigo;
Alstroemeria orchidioides;Em Perigo;
Alstroemeria penduliflora;Em Perigo;
Alternanthera decurrens;Em Perigo;
Alternanthera hirtula;Vulneravel;
Alternanthera januarensis;Em Perigo;
Amaranthus rosengurtii;Em Perigo;
Froelichiella grisea;Em Perigo;
Gomphrena centrota;Em Perigo;
Gomphrena hatschbachiana;Em Perigo;
Gomphrena nigricans;Criticamente em Perigo;
Gomphrena paranensis;Vulneravel;
Gomphrena pulchella;Em Perigo;
Gomphrena regeliana;Vulneravel;
Pfaffia argyrea;Em Perigo;
Pfaffia minarum;Vulneravel;
Quaternella glabratoides;Em Perigo;
Eithea blumenavia;Em Perigo;
Griffinia aracensis;Criticamente em Perigo;
Griffinia colatinensis;Criticamente em Perigo;
Griffinia espiritensis;Em Perigo;
Griffinia gardneriana;Em Perigo;
Griffinia hyacinthina;Em Perigo;
Griffinia liboniana;Em Perigo;
Griffinia nocturna;Criticamente em Perigo;
Griffinia parviflora;Criticamente em Perigo;
Griffinia paubrasilica;Criticamente em Perigo;
Habranthus coeruleus;Vulneravel;
Habranthus irwinianus;Vulneravel;
Hippeastrum angustifolium;Vulneravel;
Hippeastrum brasilianum;Em Perigo;
Hippeastrum breviflorum;Em Perigo;
Hippeastrum goianum;Em Perigo;
Hippeastrum leucobasis;Criticamente em Perigo;
Hippeastrum morelianum;Vulneravel;
Hippeastrum papilio;Criticamente em Perigo;
Hippeastrum psittacinum;Em Perigo;
Hippeastrum reginae;Em Perigo;
Hippeastrum santacatarina;Em Perigo;
Hippeastrum striatum;Em Perigo;
Hippeastrum vittatum;Em Perigo;
Worsleya procera;Em Perigo;
Zephyranthes brasiliensis;Vulneravel;
Zephyranthes candida;Em Perigo;
Zephyranthes capivarina;Vulneravel;
Zephyranthes paranaensis;Em Perigo;
Myracrodruon balansae;Em Perigo;
Schinopsis balansae;Em Perigo;
Anemia blechnoides;Vulneravel;
Anemia dentata;Vulneravel;
Anemia gardneri;Vulneravel;
Anemia trichorhiza;Vulneravel;
Annona maritima;Vulneravel;
Annona parviflora;Em Perigo;
Annona pickelii;Vulneravel;
Annona ubatubensis;Em Perigo;
Duguetia magnolioidea;Em Perigo;
Duguetia restingae;Criticamente em Perigo;
Duguetia reticulata;Em Perigo;
Duguetia scottmorii;Criticamente em Perigo;
Duguetia sooretamae;Em Perigo;
Hornschuchia alba;Criticamente em Perigo;
Hornschuchia cauliflora;Em Perigo;
Hornschuchia obliqua;Em Perigo;
Trigynaea axilliflora;Criticamente em Perigo;
Trigynaea oblongifolia;Em Perigo;
Unonopsis riedeliana;Em Perigo;
Eryngium corallinum;Criticamente em Perigo;
Eryngium divaricatum;Em Perigo;
Eryngium dorae;Criticamente em Perigo;
Eryngium falcifolium;Em Perigo;
Eryngium koehneanum;Vulneravel;
Eryngium ombrophilum;Em Perigo;
Eryngium ramboanum;Criticamente em Perigo;
Eryngium scirpinum;Em Perigo;
Eryngium smithii;Em Perigo;
Eryngium urbanianum;Em Perigo;
Eryngium zosterifolium;Vulneravel;
Klotzschia rhizophylla;Em Perigo;
Lilaeopsis brasiliensis;Vulneravel;
Ditassa arianeae;Em Perigo;
Ditassa auriflora;Criticamente em Perigo;
Ditassa cipoensis;Em Perigo;
Ditassa cordeiroana;Em Perigo;
Ditassa itambensis;Em Perigo;
Ditassa laevis;Em Perigo;
Ditassa leonii;Vulneravel;
Ditassa longisepala;Em Perigo;
Ditassa maricaensis;Em Perigo;
Ditassa oberdanii;Em Perigo;
Gonolobus dorothyanus;Criticamente em Perigo;
Gyrostelma bornmuelleri;Em Perigo;
Gyrostelma oxypetaloides;Em Perigo;
Hemipogon abietoides;Criticamente em Perigo;
Hemipogon furlanii;Em Perigo;
Hemipogon hatschbachii;Criticamente em Perigo;
Hemipogon piranii;Criticamente em Perigo;
Jobinia hatschbachii;Em Perigo;
Macroditassa marianae;Criticamente em Perigo;
Marsdenia otoniensis;Criticamente em Perigo;
Marsdenia queirozii;Em Perigo;
Matelea bahiensis;Em Perigo;
Matelea glaziovii;Vulneravel;
Matelea hatschbachii;Em Perigo;
Matelea marcoassisii;Vulneravel;
Matelea santosii;Em Perigo;
Metastelma giuliettianum;Em Perigo;
Metastelma harleyi;Em Perigo;
Minaria bifurcata;Criticamente em Perigo;
Minaria diamantinensis;Criticamente em Perigo;
Minaria grazielae;Em Perigo;
Minaria harleyi;Em Perigo;
Minaria hemipogonoides;Criticamente em Perigo;
Minaria inconspicua;Em Perigo;
Minaria magisteriana;Em Perigo;
Minaria monocoronata;Criticamente em Perigo;
Minaria polygaloides;Em Perigo;
Minaria refractifolia;Vulneravel;
Minaria semirii;Em Perigo;
Minaria volubilis;Em Perigo;
Monsanima morrenioides;Criticamente em Perigo;
Oxypetalum dusenii;Em Perigo;
Oxypetalum ekblomii;Em Perigo;
Oxypetalum glaziovii;Em Perigo;
Oxypetalum leonii;Em Perigo;
Oxypetalum mexiae;Criticamente em Perigo;
Prestonia solanifolia;Em Perigo;
Tabernaemontana cumata;Em Perigo;
Ilex auricula;Criticamente em Perigo;
Ilex loranthoides;Vulneravel;
Ilex prostrata;Criticamente em Perigo;
Anthurium jureianum;Vulneravel;
Anthurium langsdorffii;Em Perigo;
Anthurium lucidum;Em Perigo;
Anthurium luschnathianum;Em Perigo;
Anthurium radicans;Vulneravel;
Anthurium xanthophylloides;Vulneravel;
Heteropsis flexuosa;Vulneravel;
Philodendron fragile;Em Perigo;
Philodendron spiritus-sancti;Em Perigo;
Hydrocotyle langsdorffii;Em Perigo;
Schefflera aurata;Criticamente em Perigo;
Schefflera gardneri;Em Perigo;
Schefflera glaziovii;Em Perigo;
Schefflera sprucei;Vulneravel;
Schefflera succinea;Em Perigo;
Araucaria angustifolia;Em Perigo;
Acrocomia emensis;Vulneravel;
Allagoptera brevicalyx;Vulneravel;
Attalea barreirensis;Vulneravel;
Attalea brasiliensis;Em Perigo;
Bactris timbuiensis;Em Perigo;
Butia capitata;Vulneravel;
Butia eriospatha;Vulneravel;
Butia leptospatha;Criticamente em Perigo;
Butia microspadix;Vulneravel;
Butia purpurascens;Em Perigo;
Butia yatay;Vulneravel;
Euterpe edulis;Vulneravel;
Lytocaryum insigne;Vulneravel;
Syagrus glaucescens;Vulneravel;
Syagrus macrocarpa;Em Perigo;
Syagrus mendanhensis;Criticamente em Perigo;
Syagrus picrophylla;Vulneravel;
Syagrus ruschiana;Vulneravel;
Aristolochia hypoglauca;Em Perigo;
Aristolochia odora;Criticamente em Perigo;
Gongylanthus liebmannianus;Em Perigo;
Southbya organensis;Criticamente em Perigo;
Asplenium beckeri;Criticamente em Perigo;
Asplenium bradeanum;Em Perigo;
Asplenium castaneum;Em Perigo;
Asplenium schwackei;Criticamente em Perigo;
Asplenium trindadense;Criticamente em Perigo;
Acmella pusilla;Em Perigo;
Acritopappus catolesensis;Vulneravel;
Acritopappus connatifolius;Em Perigo;
Acritopappus irwinii;Vulneravel;
Acritopappus pintoi;Criticamente em Perigo;
Agrianthus almasensis;Em Perigo;
Agrianthus giuliettiae;Em Perigo;
Aldama corumbensis;Em Perigo;
Aldama filifolia;Em Perigo;
Aldama goyazii;Vulneravel;
Aldama linearifolia;Criticamente em Perigo;
Aldama paranensis;Criticamente em Perigo;
Aldama vernonioides;Em Perigo;
Anteremanthus hatschbachii;Em Perigo;
Aspilia almasensis;Vulneravel;
Aspilia belo-horizontinae;Criticamente em Perigo;
Aspilia caudata;Em Perigo;
Aspilia cordifolia;Em Perigo;
Aspilia cylindrocephala;Vulneravel;
Aspilia diamantinae;Em Perigo;
Aspilia diffusiflora;Vulneravel;
Aspilia diniz-cruzeanae;Criticamente em Perigo;
Aspilia eglerii;Criticamente em Perigo;
Aspilia espinhacensis;Em Perigo;
Aspilia grazielae;Em Perigo;
Aspilia jugata;Criticamente em Perigo;
Aspilia ovalifolia;Criticamente em Perigo;
Aspilia pereirae;Em Perigo;
Aspilia prostrata;Em Perigo;
Aspilia reticulata;Vulneravel;
Aspilia silphioides;Em Perigo;
Austroeupatorium rosmarinaceum;Vulneravel;
Baccharis aracatubensis;Em Perigo;
Baccharis concinna;Vulneravel;
Baccharis elliptica;Em Perigo;
Baccharis hypericifolia;Em Perigo;
Baccharis lychnophora;Vulneravel;
Baccharis penningtonii;Vulneravel;
Baccharis polyphylla;Vulneravel;
Baccharis pseudoalpestris;Vulneravel;
Caatinganthus rubropappus;Em Perigo;
Calea abbreviata;Criticamente em Perigo;
Calea acaulis;Vulneravel;
Calea brittoniana;Criticamente em Perigo;
Calea gentianoides;Vulneravel;
Calea heteropappa;Em Perigo;
Calea kristiniae;Em Perigo;
Campuloclinium parvulum;Vulneravel;
Catolesia mentiens;Criticamente em Perigo;
Chaptalia chapadensis;Criticamente em Perigo;
Chaptalia cordifolia;Vulneravel;
Chaptalia hermogenis;Criticamente em Perigo;
Chionolaena lychnophorioides;Vulneravel;
Chresta souzae;Em Perigo;
Chromolaena angusticeps;Em Perigo;
Chromolaena arrayana;Em Perigo;
Chromolaena costatipes;Em Perigo;
Chromolaena rhinanthacea;Em Perigo;
Chronopappus bifrons;Vulneravel;
Chrysolaena nicolackii;Vulneravel;
Cololobus longiangustatus;Em Perigo;
Cololobus rupestris;Em Perigo;
Dendrophorbium catharinense;Vulneravel;
Dendrophorbium paranense;Em Perigo;
Dimerostemma annuum;Em Perigo;
Dimerostemma episcopale;Em Perigo;
Dimerostemma grazielae;Vulneravel;
Dimerostemma myrtifolium;Em Perigo;
Disynaphia ericoides;Em Perigo;
Disynaphia praeficta;Em Perigo;
Disynaphia variolata;Em Perigo;
Echinocoryne echinocephala;Em Perigo;
Eremanthus argenteus;Em Perigo;
Eremanthus leucodendron;Em Perigo;
Eremanthus polycephalus;Vulneravel;
Gochnatia rotundifolia;Vulneravel;
Gyptis vernoniopsis;Em Perigo;
Heterocoma albida;Criticamente em Perigo;
Heterocondylus lysimachioides;Vulneravel;
Hoehnephytum almasense;Em Perigo;
Holocheilus hieracioides;Em Perigo;
Holocheilus monocephalus;Em Perigo;
Hysterionica pinnatiloba;Em Perigo;
Hysterionica pinnatisecta;Criticamente em Perigo;
Ianthopappus corymbosus;Criticamente em Perigo;
Ichthyothere elliptica;Em Perigo;
Lepidaploa almasensis;Criticamente em Perigo;
Lepidaploa gnaphalioides;Em Perigo;
Lepidaploa pseudaurea;Em Perigo;
Lepidaploa spixiana;Em Perigo;
Leptostelma catharinense;Em Perigo;
Lessingianthus adenophyllus;Em Perigo;
Lessingianthus asteriflorus;Em Perigo;
Lessingianthus constrictus;Criticamente em Perigo;
Lessingianthus eitenii;Vulneravel;
Lessingianthus exiguus;Vulneravel;
Lessingianthus irwinii;Vulneravel;
Lessingianthus pumillus;Vulneravel;
Lessingianthus reitzianus;Vulneravel;
Lessingianthus rosmarinifolius;Em Perigo;
Lessingianthus souzae;Em Perigo;
Lessingianthus stoechas;Vulneravel;
Lessingianthus subcarduoides;Em Perigo;
Lessingianthus venosissimus;Em Perigo;
Lessingianthus westermanii;Em Perigo;
Lessingianthus zuccarinianus;Vulneravel;
Lomatozona artemisiifolia;Em Perigo;
Lulia nervosa;Em Perigo;
Lychnophora albertinioides;Criticamente em Perigo;
Lychnophora brunioides;Criticamente em Perigo;
Lychnophora crispa;Em Perigo;
Lychnophora diamantinana;Em Perigo;
Lychnophora gardneri;Em Perigo;
Lychnophora granmogolensis;Em Perigo;
Lychnophora humillima;Criticamente em Perigo;
Lychnophora markgravii;Em Perigo;
Lychnophora martiana;Em Perigo;
Lychnophora mello-barretoi;Em Perigo;
Lychnophora pohlii;Em Perigo;
Lychnophora ramosissima;Vulneravel;
Lychnophora regis;Em Perigo;
Lychnophora reticulata;Em Perigo;
Lychnophora rosmarinifolia;Em Perigo;
Lychnophora santosii;Em Perigo;
Lychnophora sellowii;Em Perigo;
Lychnophora sericea;Criticamente em Perigo;
Lychnophora souzae;Criticamente em Perigo;
Lychnophora syncephala;Em Perigo;
Lychnophora tomentosa;Vulneravel;
Lychnophora villosissima;Em Perigo;
Lychnophoriopsis candelabrum;Em Perigo;
Lychnophoriopsis damazioi;Em Perigo;
Lychnophoriopsis hatschbachii;Em Perigo;
Mikania additicia;Em Perigo;
Mikania alvimii;Em Perigo;
Mikania anethifolia;Em Perigo;
Mikania argyreiae;Vulneravel;
Mikania cipoensis;Em Perigo;
Mikania clematidifolia;Vulneravel;
Mikania dusenii;Criticamente em Perigo;
Mikania firmula;Vulneravel;
Mikania glabra;Em Perigo;
Mikania glauca;Em Perigo;
Mikania hartbergii;Em Perigo;
Mikania hastato-cordata;Vulneravel;
Mikania itambana;Em Perigo;
Mikania neurocaula;Em Perigo;
Mikania oreophila;Em Perigo;
Mikania pinnatiloba;Em Perigo;
Mikania premnifolia;Em Perigo;
Mikania variifolia;Em Perigo;
Mikania viminea;Em Perigo;
Mikania warmingii;Em Perigo;
Minasia alpestris;Em Perigo;
Minasia pereirae;Em Perigo;
Minasia scapigera;Em Perigo;
Monogereion carajensis;Criticamente em Perigo;
Moquiniastrum argyreum;Em Perigo;
Moquiniastrum cordatum;Em Perigo;
Moquiniastrum hatschbachii;Vulneravel;
Moquiniastrum mollissimum;Criticamente em Perigo;
Moquiniastrum ramboi;Vulneravel;
Moquiniastrum sordidum;Vulneravel;
Neocabreria malachophylla;Vulneravel;
Noticastrum hatschbachii;Em Perigo;
Noticastrum malmei;Em Perigo;
Noticastrum psammophilum;Em Perigo;
Panphalea araucariophila;Em Perigo;
Panphalea cardaminifolia;Em Perigo;
Panphalea maxima;Criticamente em Perigo;
Panphalea ramboi;Criticamente em Perigo;
Panphalea smithii;Em Perigo;
Paralychnophora atkinsiae;Em Perigo;
Paralychnophora bicolor;Em Perigo;
Paralychnophora harleyi;Vulneravel;
Paralychnophora patriciana;Em Perigo;
Perezia eryngioides;Em Perigo;
Perezia multiflora;Em Perigo;
Picrosia cabreriana;Criticamente em Perigo;
Piptocarpha robusta;Em Perigo;
Piptolepis buxoides;Em Perigo;
Piptolepis imbricata;Criticamente em Perigo;
Piptolepis leptospermoides;Criticamente em Perigo;
Porophyllum bahiense;Vulneravel;
Proteopsis argentea;Vulneravel;
Richterago angustifolia;Em Perigo;
Richterago arenaria;Vulneravel;
Richterago campestris;Em Perigo;
Richterago caulescens;Criticamente em Perigo;
Richterago conduplicata;Em Perigo;
Richterago elegans;Vulneravel;
Richterago hatschbachii;Em Perigo;
Richterago lanata;Em Perigo;
Richterago petiolata;Em Perigo;
Richterago polyphylla;Em Perigo;
Richterago riparia;Vulneravel;
Richterago stenophylla;Em Perigo;
Richterago suffrutescens;Criticamente em Perigo;
Schlechtendalia luzulifolia;Em Perigo;
Senecio almasensis;Criticamente em Perigo;
Senecio caparaoensis;Em Perigo;
Senecio gertii;Em Perigo;
Senecio graciellae;Em Perigo;
Senecio hatschbachii;Em Perigo;
Senecio heteroschizus;Em Perigo;
Senecio langei;Vulneravel;
Senecio promatensis;Criticamente em Perigo;
Senecio ramboanus;Em Perigo;
Senecio riograndensis;Em Perigo;
Smallanthus araucariophilus;Criticamente em Perigo;
Smallanthus riograndensis;Em Perigo;
Stenachaenium macrocephalum;Criticamente em Perigo;
Stenophalium eriodes;Vulneravel;
Stevia catharinensis;Em Perigo;
Stevia hilarii;Criticamente em Perigo;
Stevia leptophylla;Em Perigo;
Stevia riedelli;Em Perigo;
Stevia selloi;Vulneravel;
Steyermarkina dispalata;Vulneravel;
Stifftia fruticosa;Vulneravel;
Stilpnopappus semirianus;Em Perigo;
Stilpnopappus suffruticosus;Criticamente em Perigo;
Stomatanthes loefgrenii;Criticamente em Perigo;
Strophopappus bicolor;Em Perigo;
Strophopappus ferrugineus;Em Perigo;
Stylotrichium corymbosum;Em Perigo;
Stylotrichium edmundoi;Em Perigo;
Stylotrichium glomeratum;Criticamente em Perigo;
Stylotrichium sucrei;Em Perigo;
Symphyopappus uncinatus;Em Perigo;
Trichocline linearifolia;Vulneravel;
Trixis glaziovii;Vulneravel;
Trixis pallida;Criticamente em Perigo;
Verbesina pseudoclaussenii;Criticamente em Perigo;
Vernonanthura fagifolia;Vulneravel;
Wedelia macedoi;Criticamente em Perigo;
Wunderlichia azulensis;Em Perigo;
Wunderlichia cruelsiana;Em Perigo;
Wunderlichia senae;Em Perigo;
Begonia albidula;Em Perigo;
Begonia altamiroi;Em Perigo;
Begonia apparicioi;Em Perigo;
Begonia bahiensis;Em Perigo;
Begonia besleriifolia;Em Perigo;
Begonia coccinea;Em Perigo;
Begonia crispula;Criticamente em Perigo;
Begonia curtii;Vulneravel;
Begonia dentatiloba;Em Perigo;
Begonia espiritosantensis;Em Perigo;
Begonia handroi;Em Perigo;
Begonia ibitiocensis;Em Perigo;
Begonia inconspicua;Criticamente em Perigo;
Begonia itaguassuensis;Em Perigo;
Begonia itatinensis;Em Perigo;
Begonia jureiensis;Criticamente em Perigo;
Begonia kuhlmannii;Em Perigo;
Begonia larorum;Em Perigo;
Begonia organensis;Em Perigo;
Begonia paranaensis;Em Perigo;
Begonia paulensis;Em Perigo;
Begonia perdusenii;Em Perigo;
Begonia piresiana;Criticamente em Perigo;
Begonia pluvialis;Em Perigo;
Begonia polygonifolia;Em Perigo;
Begonia ruschii;Criticamente em Perigo;
Begonia salesopolensis;Criticamente em Perigo;
Begonia santoslimae;Em Perigo;
Begonia scharffii;Criticamente em Perigo;
Begonia smilacina;Em Perigo;
Begonia stenolepis;Em Perigo;
Begonia sylvatica;Em Perigo;
Begonia toledoana;Em Perigo;
Begonia undulata;Em Perigo;
Begonia venosa;Criticamente em Perigo;
Begonia vicina;Em Perigo;
Berberis campos-portoi;Criticamente em Perigo;
Berberis kleinii;Vulneravel;
Adenocalymma dichilum;Em Perigo;
Adenocalymma fruticosum;Em Perigo;
Adenocalymma magnoalatum;Em Perigo;
Adenocalymma ubatubense;Criticamente em Perigo;
Anemopaegma arvense;Em Perigo;
Anemopaegma mirabile;Criticamente em Perigo;
Digomphia densicoma;Vulneravel;
Fridericia crassa;Vulneravel;
Handroanthus arianeae;Em Perigo;
Handroanthus riodocensis;Em Perigo;
Handroanthus spongiosus;Em Perigo;
Jacaranda carajasensis;Criticamente em Perigo;
Jacaranda crassifolia;Em Perigo;
Jacaranda egleri;Criticamente em Perigo;
Jacaranda grandifoliolata;Em Perigo;
Jacaranda intricata;Criticamente em Perigo;
Jacaranda microcalyx;Em Perigo;
Jacaranda rugosa;Em Perigo;
Paratecoma peroba;Em Perigo;
Pleonotoma bracteata;Vulneravel;
Sparattosperma catingae;Em Perigo;
Tabebuia cassinoides;Em Perigo;
Zeyheria tuberculosa;Vulneravel;
Blechnum andinum;Criticamente em Perigo;
Blechnum heringeri;Vulneravel;
Blechnum sprucei;Vulneravel;
Blechnum squamipes;Em Perigo;
Aechmea alopecurus;Em Perigo;
Aechmea amicorum;Em Perigo;
Aechmea apocalyptica;Vulneravel;
Aechmea azurea;Vulneravel;
Aechmea bambusoides;Vulneravel;
Aechmea cariocae;Em Perigo;
Aechmea castanea;Em Perigo;
Aechmea depressa;Em Perigo;
Aechmea echinata;Em Perigo;
Aechmea fosteriana;Em Perigo;
Aechmea gustavoi;Criticamente em Perigo;
Aechmea kertesziae;Em Perigo;
Aechmea kleinii;Em Perigo;
Aechmea macrochlamys;Em Perigo;
Aechmea marginalis;Criticamente em Perigo;
Aechmea muricata;Em Perigo;
Aechmea mutica;Em Perigo;
Aechmea orlandiana;Criticamente em Perigo;
Aechmea sphaerocephala;Em Perigo;
Aechmea triangularis;Em Perigo;
Aechmea vanhoutteana;Vulneravel;
Aechmea werdermannii;Em Perigo;
Aechmea winkleri;Criticamente em Perigo;
