Nome_Cientifico;Status;
Hadrolaelia jongheana;Em Perigo;
Hadrolaelia pumila;Vulneravel;
Hadrolaelia pygmaea;Em Perigo;
Hadrolaelia sincorana;Em Perigo;
Hadrolaelia wittigiana;Em Perigo;
Hoehneella heloisae;Criticamente em Perigo;
Hoffmannseggella briegeri;Em Perigo;
Hoffmannseggella caulescens;Em Perigo;
Hoffmannseggella endsfeldzii;Criticamente em Perigo;
Hoffmannseggella ghillanyi;Em Perigo;
Hoffmannseggella gloedeniana;Criticamente em Perigo;
Hoffmannseggella kautskyana;Criticamente em Perigo;
Hoffmannseggella milleri;Criticamente em Perigo;
Hoffmannseggella mixta;Em Perigo;
Hoffmannseggella munchowiana;Criticamente em Perigo;
Houlletia brocklehurstiana;Em Perigo;
Isabelia virginalis;Vulneravel;
Lophiaris schwambachiae;Vulneravel;
Malaxis jaraguae;Vulneravel;
Masdevallia discoidea;Criticamente em Perigo;
Miltonia kayasimae;Criticamente em Perigo;
Myoxanthus ruschii;Criticamente em Perigo;
Myoxanthus seidelii;Criticamente em Perigo;
Neogardneria murrayana;Em Perigo;
Notylia microchila;Em Perigo;
Octomeria alexandri;Em Perigo;
Octomeria chamaeleptotes;Vulneravel;
Octomeria geraensis;Vulneravel;
Octomeria hatschbachii;Vulneravel;
Octomeria hoehnei;Em Perigo;
Octomeria lichenicola;Em Perigo;
Octomeria truncicola;Vulneravel;
Octomeria wawrae;Em Perigo;
Octomeria wilsoniana;Criticamente em Perigo;
Pabstia jugosa;Em Perigo;
Pabstia schunkiana;Criticamente em Perigo;
Pabstiella bacillaris;Em Perigo;
Pabstiella carinifera;Vulneravel;
Pabstiella castellensis;Criticamente em Perigo;
Pabstiella conspersa;Em Perigo;
Pabstiella garayi;Criticamente em Perigo;
Pabstiella lingua;Em Perigo;
Pabstiella ruschii;Criticamente em Perigo;
Phragmipedium vittatum;Vulneravel;
Phymatidium geiselii;Em Perigo;
Phymatidium glaziovii;Vulneravel;
Phymatidium vogelii;Vulneravel;
Polystachya rupicola;Criticamente em Perigo;
Pseudolaelia brejetubensis;Criticamente em Perigo;
Pseudolaelia canaanensis;Vulneravel;
Pseudolaelia cipoensis;Criticamente em Perigo;
Pseudolaelia citrina;Em Perigo;
Pseudolaelia dutrae;Vulneravel;
Pteroglossa hilariana;Em Perigo;
Rauhiella silvana;Em Perigo;
Sarcoglottis alexandri;Em Perigo;
Saundersia mirabilis;Em Perigo;
Saundersia paniculata;Vulneravel;
Scuticaria irwiniana;Em Perigo;
Scuticaria itirapinensis;Criticamente em Perigo;
Scuticaria kautskyi;Criticamente em Perigo;
Scuticaria strictifolia;Em Perigo;
Specklinia gomesferreirae;Criticamente em Perigo;
Stigmatosema hatschbachii;Criticamente em Perigo;
Thelyschista ghillanyi;Vulneravel;
Thysanoglossa jordanensis;Em Perigo;
Trichopilia santoslimae;Criticamente em Perigo;
Vanilla dietschiana;Vulneravel;
Vanilla dubia;Em Perigo;
Zygopetalum pabstii;Em Perigo;
Zygostates kuhlmannii;Em Perigo;
Zygostates linearisepala;Criticamente em Perigo;
Agalinis bandeirensis;Criticamente em Perigo;
Agalinis brachyphylla;Vulneravel;
Agalinis itambensis;Em Perigo;
Agalinis nana;Em Perigo;
Agalinis ramulifera;Em Perigo;
Agalinis schwackeana;Criticamente em Perigo;
Esterhazya caesarea;Vulneravel;
Magdalenaea limae;Criticamente em Perigo;
Nothochilus coccineus;Em Perigo;
Oxalis arachnoidea;Criticamente em Perigo;
Oxalis bela-vitoriae;Criticamente em Perigo;
Oxalis blackii;Criticamente em Perigo;
Oxalis clausenii;Criticamente em Perigo;
Oxalis diamantinae;Criticamente em Perigo;
Oxalis doceana;Criticamente em Perigo;
Oxalis hyalotricha;Em Perigo;
Oxalis impatiens;Em Perigo;
Oxalis kuhlmannii;Criticamente em Perigo;
Oxalis mandioccana;Vulneravel;
Oxalis paranaensis;Criticamente em Perigo;
Oxalis praetexta;Em Perigo;
Jensenia difformis;Em Perigo;
Passiflora hatschbachii;Em Perigo;
Passiflora imbeana;Em Perigo;
Passiflora ischnoclada;Criticamente em Perigo;
Passiflora margaritae;Em Perigo;
Passiflora setulosa;Em Perigo;
Passiflora urubiciensis;Em Perigo;
Ternstroemia cuneifolia;Vulneravel;
Phyllanthus gladiatus;Vulneravel;
Microtea bahiensis;Em Perigo;
Microtea papilosa;Vulneravel;
Picramnia coccinea;Em Perigo;
Peperomia cordigera;Vulneravel;
Peperomia gracilis;Em Perigo;
Peperomia guarujana;Criticamente em Perigo;
Peperomia hemmendorffii;Em Perigo;
Peperomia itatiaiana;Em Perigo;
Peperomia loefgrenii;Em Perigo;
Peperomia rostulatiformis;Em Perigo;
Peperomia rufispica;Criticamente em Perigo;
Peperomia suboppositifolia;Em Perigo;
Piper amparoense;Em Perigo;
Piper anostachyum;Em Perigo;
Piper barretoi;Em Perigo;
Piper bennettianum;Vulneravel;
Piper carautensei;Em Perigo;
Piper casteloense;Em Perigo;
Piper duartei;Vulneravel;
Piper edwallii;Em Perigo;
Piper hatschbachii;Criticamente em Perigo;
Piper hoehnei;Em Perigo;
Piper juliflorum;Em Perigo;
Piper kuhlmannii;Vulneravel;
Piper laevicarpum;Em Perigo;
Piper loefgrenii;Vulneravel;
Piper oblancifolium;Em Perigo;
Piper piritubanum;Em Perigo;
Piper rioense;Em Perigo;
Piper sampaioi;Criticamente em Perigo;
Piper scabrellum;Em Perigo;
Plagiochila boryana;Em Perigo;
Achetaria caparaoense;Criticamente em Perigo;
Achetaria latifolia;Criticamente em Perigo;
Angelonia alternifolia;Criticamente em Perigo;
Bacopa cochlearia;Em Perigo;
Ildefonsia bibracteata;Criticamente em Perigo;
Plantago turficola;Em Perigo;
Stemodia harleyi;Vulneravel;
Stemodia hyptoides;Vulneravel;
Agrostis lenis;Vulneravel;
Agrostis longiberbis;Em Perigo;
Altoparadisium chapadense;Criticamente em Perigo;
Andropogon glaucophyllus;Em Perigo;
Anomochloa marantoidea;Em Perigo;
Anthaenantiopsis fiebrigii;Criticamente em Perigo;
Apoclada simplex;Em Perigo;
Aristida brasiliensis;Em Perigo;
Aristida constricta;Criticamente em Perigo;
Arthropogon xerachne;Criticamente em Perigo;
Arundinella deppeana;Vulneravel;
Axonopus carajasensis;Em Perigo;
Axonopus fastigiatus;Vulneravel;
Axonopus hydrolithicus;Criticamente em Perigo;
Axonopus monticola;Em Perigo;
Axonopus ramboi;Em Perigo;
Axonopus uninodis;Criticamente em Perigo;
Bothriochloa laguroides;Vulneravel;
Bromidium ramboi;Criticamente em Perigo;
Cambajuva ulei;Em Perigo;
Canastra lanceolata;Criticamente em Perigo;
Chascolytrum brasiliense;Em Perigo;
Chascolytrum bulbosum;Criticamente em Perigo;
Chascolytrum itatiaiae;Em Perigo;
Chascolytrum parodianum;Criticamente em Perigo;
Chascolytrum scabrum;Em Perigo;
Chusquea attenuata;Em Perigo;
Chusquea baculifera;Criticamente em Perigo;
Chusquea erecta;Em Perigo;
Chusquea heterophylla;Em Perigo;
Chusquea pulchella;Em Perigo;
Chusquea tenuiglumis;Criticamente em Perigo;
Colanthelia macrostachya;Em Perigo;
Danthonia cirrata;Em Perigo;
Deschampsia caespitosa;Em Perigo;
Diandrolyra tatianae;Em Perigo;
Digitaria neesiana;Em Perigo;
Glaziophyton mirabile;Em Perigo;
Gymnopogon doellii;Criticamente em Perigo;
Leersia ligularis;Vulneravel;
Lithachne horizontalis;Em Perigo;
Luziola brasiliensis;Vulneravel;
Melica arzivencoi;Em Perigo;
Merostachys abadiana;Criticamente em Perigo;
Merostachys burmanii;Em Perigo;
Merostachys caucaiana;Criticamente em Perigo;
Merostachys scandens;Criticamente em Perigo;
Ocellochloa brachystachya;Criticamente em Perigo;
Olyra latispicula;Criticamente em Perigo;
Parianella carvalhoi;Criticamente em Perigo;
Paspalum biaristatum;Em Perigo;
Paspalum longiaristatum;Em Perigo;
Paspalum niquelandiae;Em Perigo;
Paspalum rawitscheri;Em Perigo;
Paspalum repandum;Em Perigo;
Piptochaetium alpinum;Em Perigo;
Piptochaetium palustre;Criticamente em Perigo;
Poa bradei;Em Perigo;
Poa reitzii;Em Perigo;
Raddia angustifolia;Criticamente em Perigo;
Raddia distichophylla;Em Perigo;
Reitzia smithii;Vulneravel;
Schizachyrium scabriflorum;Em Perigo;
Setaria parviflora;Criticamente em Perigo;
Setaria stolonifera;Criticamente em Perigo;
Sporobolus apiculatus;Em Perigo;
Sucrea maculata;Em Perigo;
Sucrea sampaiana;Em Perigo;
Triraphis devia;Em Perigo;
Zizaniopsis bonariensis;Em Perigo;
Podocarpus barretoi;Criticamente em Perigo;
Podocarpus brasiliensis;Vulneravel;
Mourera weddelliana;Vulneravel;
Podostemum ovatum;Em Perigo;
Podostemum rutifolium;Vulneravel;
Podostemum saldanhanum;Criticamente em Perigo;
Polygala franchetii;Em Perigo;
Polygala selaginoides;Em Perigo;
Polygala stephaniana;Em Perigo;
Polygala tamariscea;Vulneravel;
Alansmia senilis;Criticamente em Perigo;
Ceradenia capillaris;Vulneravel;
Ceradenia glaziovii;Em Perigo;
Ceradenia warmingii;Criticamente em Perigo;
Grammitis fluminensis;Em Perigo;
Lellingeria brasiliensis;Vulneravel;
Lellingeria itatimensis;Criticamente em Perigo;
Lellingeria tamandarei;Em Perigo;
Moranopteris perpusilla;Em Perigo;
Pecluma hoehnii;Criticamente em Perigo;
Pecluma imbeana;Criticamente em Perigo;
Pecluma insularis;Criticamente em Perigo;
Pleopeltis alborufula;Em Perigo;
Pleopeltis monoides;Em Perigo;
Pleopeltis trindadensis;Criticamente em Perigo;
Stenogrammitis limula;Criticamente em Perigo;
Stenogrammitis pumila;Criticamente em Perigo;
Terpsichore semihirsuta;Em Perigo;
Terpsichore taxifolia;Em Perigo;
Portulaca hatschbachii;Em Perigo;
Leptodontium wallisii;Vulneravel;
Lysimachia barbata;Em Perigo;
Lysimachia buxifolia;Em Perigo;
Myrsine congesta;Em Perigo;
Myrsine glazioviana;Em Perigo;
Myrsine villosissima;Em Perigo;
Euplassa cantareirae;Em Perigo;
Euplassa incana;Vulneravel;
Euplassa nebularis;Em Perigo;
Euplassa semicostata;Em Perigo;
Panopsis multiflora;Em Perigo;
Roupala asplenioides;Em Perigo;
Roupala sculpta;Vulneravel;
Adiantum diphyllum;Criticamente em Perigo;
Adiantum discolor;Em Perigo;
Adiantum mynsseniae;Em Perigo;
Adiantum papillosum;Em Perigo;
Adiantum tetragonum;Em Perigo;
Cheilanthes incisa;Em Perigo;
Cheilanthes juergensii;Em Perigo;
Cheilanthes regnelliana;Em Perigo;
Doryopteris itatiaiensis;Em Perigo;
Doryopteris paradoxa;Vulneravel;
Doryopteris quinquelobata;Criticamente em Perigo;
Doryopteris rediviva;Vulneravel;
Doryopteris rosenstockii;Em Perigo;
Doryopteris rufa;Em Perigo;
Doryopteris subsimplex;Em Perigo;
Doryopteris tijucana;Em Perigo;
Doryopteris trilobata;Em Perigo;
Jamesonia biardii;Em Perigo;
Jamesonia brasiliensis;Em Perigo;
Jamesonia cheilanthoides;Em Perigo;
Jamesonia insignis;Em Perigo;
Jamesonia rufescens;Criticamente em Perigo;
Pellaea cymbiformis;Em Perigo;
Pellaea gleichenioides;Em Perigo;
Pteris congesta;Em Perigo;
Pteris limae;Criticamente em Perigo;
Quillaja brasiliensis;Em Perigo;
Colletia exserta;Em Perigo;
Colletia paradoxa;Em Perigo;
Condalia buxifolia;Em Perigo;
Discaria americana;Vulneravel;
Gouania corylifolia;Vulneravel;
Gouania inornata;Em Perigo;
Rhamnidium glabrum;Vulneravel;
Scutia arenicola;Em Perigo;
Riccia ridleyi;Criticamente em Perigo;
Alseis involuta;Vulneravel;
Bradea anomala;Criticamente em Perigo;
Bradea bicornuta;Criticamente em Perigo;
Bradea montana;Criticamente em Perigo;
Carapichea ipecacuanha;Vulneravel;
Chomelia modesta;Criticamente em Perigo;
Coussarea bocainae;Em Perigo;
Erithalis insularis;Criticamente em Perigo;
Faramea bahiensis;Vulneravel;
Faramea paratiensis;Em Perigo;
Galianthe elegans;Vulneravel;
Galianthe souzae;Em Perigo;
Galianthe vaginata;Em Perigo;
Galium diphyllum;Criticamente em Perigo;
Galium rubidiflorum;Criticamente em Perigo;
Galium shepherdii;Criticamente em Perigo;
Guettarda paludosa;Criticamente em Perigo;
Hindsia glabra;Em Perigo;
Hindsia ibitipocensis;Criticamente em Perigo;
Manettia campanulacea;Criticamente em Perigo;
Manettia pauciflora;Em Perigo;
Melanopsidium nigrum;Vulneravel;
Mitracarpus anthospermoides;Em Perigo;
Mitracarpus eritrichoides;Em Perigo;
Mitracarpus rigidifolius;Vulneravel;
Pagamea harleyi;Vulneravel;
Palicourea fulgens;Vulneravel;
Psychotria loefgrenii;Em Perigo;
Psychotria microcarpa;Em Perigo;
Psychotria paludosa;Em Perigo;
Richardia schumannii;Em Perigo;
Riodocea pulcherrima;Em Perigo;
Rudgea coronata;Criticamente em Perigo;
Rudgea corymbulosa;Em Perigo;
Rudgea crassifolia;Vulneravel;
Rudgea erythrocarpa;Em Perigo;
Rudgea insignis;Vulneravel;
Rudgea jasminoides;Vulneravel;
Rudgea macrophylla;Em Perigo;
Rudgea pachyphylla;Em Perigo;
Rudgea parquioides;Criticamente em Perigo;
Rudgea parquioides;Em Perigo;
Rudgea parvifolia;Vulneravel;
Rudgea sessilis;Em Perigo;
Rudgea umbrosa;Vulneravel;
Rustia angustifolia;Em Perigo;
Simira grazielae;Em Perigo;
Simira hatschbachiorum;Em Perigo;
Staelia hatschbachii;Em Perigo;
Standleya kuhlmanni;Em Perigo;
Almeidea coerulea;Em Perigo;
Andreadoxa flava;Criticamente em Perigo;
Conchocarpus bellus;Criticamente em Perigo;
Conchocarpus cauliflorus;Criticamente em Perigo;
Conchocarpus marginatus;Criticamente em Perigo;
Esenbeckia irwiniana;Em Perigo;
Euxylophora paraensis;Criticamente em Perigo;
Galipea carinata;Criticamente em Perigo;
Metrodorea maracasana;Vulneravel;
Nycticalanthus speciosus;Criticamente em Perigo;
Pilocarpus alatus;Vulneravel;
Pilocarpus jaborandi;Em Perigo;
Pilocarpus microphyllus;Em Perigo;
Pilocarpus trachylophus;Em Perigo;
Raulinoa echinata;Vulneravel;
Abatia angeliana;Vulneravel;
Casearia paranaensis;Vulneravel;
Acanthosyris paulo-alvinii;Vulneravel;
Cupania concolor;Vulneravel;
Cupania furfuracea;Vulneravel;
Melicoccus espiritosantensis;Em Perigo;
Serjania divaricocca;Criticamente em Perigo;
Serjania hatschbachii;Criticamente em Perigo;
Talisia subalbens;Vulneravel;
Urvillea glabra;Vulneravel;
Chrysophyllum imperiale;Em Perigo;
Chrysophyllum januariense;Vulneravel;
Manilkara dardanoi;Vulneravel;
Manilkara decrescens;Vulneravel;
Manilkara maxima;Em Perigo;
Manilkara multifida;Vulneravel;
Micropholis emarginata;Em Perigo;
Micropholis splendens;Em Perigo;
Pouteria bapeba;Criticamente em Perigo;
Pouteria bullata;Em Perigo;
Pouteria butyrocarpa;Criticamente em Perigo;
Pouteria coelomatica;Vulneravel;
Pouteria decussata;Em Perigo;
Pouteria furcata;Em Perigo;
Pouteria macahensis;Em Perigo;
Pouteria multiflora;Vulneravel;
Pouteria oxypetala;Em Perigo;
Pouteria pachycalyx;Vulneravel;
Pouteria petiolata;Vulneravel;
Pouteria vernicosa;Vulneravel;
Pouteria virescens;Em Perigo;
Pradosia granulosa;Vulneravel;
Pradosia kuhlmannii;Em Perigo;
Pradosia subverticillata;Vulneravel;
Pradosia verticillata;Em Perigo;
Sarcaulus vestitus;Vulneravel;
Buddleja speciosissima;Em Perigo;
Selaginella mendoncae;Vulneravel;
Castela tweedii;Em Perigo;
Simaba glabra;Vulneravel;
Simaba insignis;Em Perigo;
Simaba salubris;Criticamente em Perigo;
Simaba suaveolens;Criticamente em Perigo;
Simaba warmingiana;Em Perigo;
Smilax lappacea;Em Perigo;
Smilax lutescens;Em Perigo;
Smilax muscosa;Vulneravel;
Smilax spicata;Em Perigo;
Smilax subsessiliflora;Em Perigo;
Calibrachoa eglandulata;Em Perigo;
Calibrachoa elegans;Em Perigo;
Calibrachoa humilis;Em Perigo;
Calibrachoa spathulata;Vulneravel;
Lycianthes repens;Em Perigo;
Nicotiana mutabilis;Vulneravel;
Nierembergia pinifolia;Criticamente em Perigo;
Petunia bonjardinensis;Em Perigo;
Petunia exserta;Em Perigo;
Petunia mantiqueirensis;Em Perigo;
Petunia reitzii;Criticamente em Perigo;
Petunia saxicola;Criticamente em Perigo;
Schwenckia curviflora;Em Perigo;
Schwenckia nova-veneciana;Criticamente em Perigo;
Solanum arenarium;Em Perigo;
Solanum bahianum;Em Perigo;
Solanum graveolens;Em Perigo;
Solanum jabrense;Em Perigo;
Solanum paralum;Em Perigo;
Solanum restingae;Em Perigo;
Solanum santosii;Vulneravel;
Solanum spissifolium;Criticamente em Perigo;
Solanum viscosissimum;Em Perigo;
Solanum warmingii;Em Perigo;
Symplocos corymboclados;Em Perigo;
Symplocos itatiaiae;Em Perigo;
Symplocos neglecta;Criticamente em Perigo;
Symplocos organensis;Em Perigo;
Symplocos rhamnifolia;Em Perigo;
Thelypteris cutiataensis;Em Perigo;
Thelypteris littoralis;Em Perigo;
Thelypteris montana;Vulneravel;
Thelypteris multigemmifera;Criticamente em Perigo;
Thelypteris novaeana;Criticamente em Perigo;
Trigoniodendron spiritusanctense;Vulneravel;
Tropaeolum warmingianum;Em Perigo;
Pilea aparadensis;Criticamente em Perigo;
Pilea flammula;Vulneravel;
Barbacenia delicatula;Em Perigo;
Barbacenia exscapa;Criticamente em Perigo;
Barbacenia glutinosa;Criticamente em Perigo;
Barbacenia gounelleana;Em Perigo;
Barbacenia longiscapa;Criticamente em Perigo;
Barbacenia paranaensis;Em Perigo;
Barbacenia pungens;Criticamente em Perigo;
Barbacenia riparia;Criticamente em Perigo;
Barbacenia rodriguesii;Em Perigo;
Barbacenia spectabilis;Em Perigo;
Barbacenia spiralis;Em Perigo;
Vellozia alata;Em Perigo;
Vellozia armata;Em Perigo;
Vellozia barbata;Em Perigo;
Vellozia canelinha;Criticamente em Perigo;
Vellozia gigantea;Em Perigo;
Vellozia glabra;Em Perigo;
Vellozia hatschbachii;Em Perigo;
Vellozia leptopetala;Em Perigo;
Vellozia lilacina;Em Perigo;
Vellozia metzgerae;Em Perigo;
Vellozia nuda;Em Perigo;
Vellozia patens;Em Perigo;
Vellozia piresiana;Em Perigo;
Vellozia pulchra;Em Perigo;
Vellozia sessilis;Em Perigo;
Vellozia streptophylla;Em Perigo;
Vellozia subalata;Em Perigo;
Aloysia hatschbachii;Em Perigo;
Citharexylum obtusifolium;Em Perigo;
Lippia alnifolia;Vulneravel;
Lippia bradei;Vulneravel;
Lippia bromleyana;Em Perigo;
Lippia elliptica;Vulneravel;
Lippia insignis;Vulneravel;
Lippia morii;Em Perigo;
Lippia pumila;Em Perigo;
Lippia rhodocnemis;Em Perigo;
Recordia reitzii;Em Perigo;
Stachytarpheta almasensis;Em Perigo;
Stachytarpheta procumbens;Em Perigo;
Stachytarpheta radlkoferiana;Vulneravel;
Hybanthus albus;Criticamente em Perigo;
Pombalia strigoides;Em Perigo;
Rinorea bicornuta;Criticamente em Perigo;
Rinorea longistipulata;Em Perigo;
Rinorea ramiziana;Em Perigo;
Rinorea villosiflora;Criticamente em Perigo;
Viola gracillima;Em Perigo;
Cissus apendiculata;Em Perigo;
Cissus inundata;Vulneravel;
Callisthene inundata;Em Perigo;
Erisma arietinum;Em Perigo;
Qualea coerulea;Vulneravel;
Qualea magna;Em Perigo;
Vochysia angelica;Em Perigo;
Vochysia pygmaea;Em Perigo;
Vochysia santaluciae;Em Perigo;
Xyris aurea;Em Perigo;
Xyris blepharophylla;Em Perigo;
Xyris cipoensis;Em Perigo;
Xyris coutensis;Criticamente em Perigo;
Xyris dardanoi;Criticamente em Perigo;
Xyris fibrosa;Criticamente em Perigo;
Xyris fusca;Em Perigo;
Xyris hatschbachii;Criticamente em Perigo;
Xyris hystrix;Criticamente em Perigo;
Xyris longifolia;Em Perigo;
Xyris lucida;Em Perigo;
Xyris morii;Em Perigo;
Xyris neglecta;Em Perigo;
Xyris nigricans;Criticamente em Perigo;
Xyris obtusiuscula;Em Perigo;
Xyris phaeocephala;Em Perigo;
Xyris platystachya;Criticamente em Perigo;
Xyris reitzii;Em Perigo;
Xyris retrorsifimbriata;Criticamente em Perigo;
Xyris rigida;Criticamente em Perigo;
Xyris sincorana;Em Perigo;
Xyris sororia;Criticamente em Perigo;
Xyris stenophylla;Vulneravel;
Xyris tortilis;Criticamente em Perigo;
Xyris uninervis;Criticamente em Perigo;
Xyris vacillans;Em Perigo;
Xyris wawrae;Em Perigo;
Renealmia brasiliensis;Em Perigo;
Handroanthus impetiginosus;Vulneravel;Estado PA
Tabebuia impetiginosa;Vulneravel;Estado PA
Handroanthus impetiginosum;Vulneravel;Estado PA
